session_id_a,platform_a,session_id_b,platform_b,global_uid,expected_method,match_features
A_sess_00001_4495231d,A,B_sess_00002_168d41ce,B,global_b3181e12d6b044b2,deterministic,"{""ip_range"": ""10.190.0.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Houston"", ""location_country"": ""US"", ""hashed_email"": ""83e8344cf090e427420c54906f7f9af5624b2124c346c74792bb4b37c226d859""}"
A_sess_00003_32da772c,A,B_sess_00004_bb964da3,B,global_cef1aff4ada94c37,deterministic,"{""ip_range"": ""10.207.1.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Singapore"", ""location_country"": ""SG"", ""hashed_email"": ""9db7e2739a39fa3e73450dd455e16eb720eea76b2b5c484d0c77e251aaaec616""}"
A_sess_00005_80fc58cd,A,B_sess_00006_1ec5961c,B,global_6a83cabacda543d6,deterministic,"{""ip_range"": ""10.230.2.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""92cd0b2007e5d2900adf462f0d5b8b8b3868954e650d2e05f6a923c2620d9b00""}"
A_sess_00007_acbb661f,A,B_sess_00008_b2769cf4,B,global_9b414f5220c34735,deterministic,"{""ip_range"": ""10.130.3.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""b76a1269476ae952d16d265300ee8a40b27b6cc19599127c4883e383e279b1dc""}"
A_sess_00009_cbdd330c,A,B_sess_00010_98721584,B,global_1f286138d0aa4568,deterministic,"{""ip_range"": ""10.182.4.0/16"", ""device_type"": ""mobile"", ""location_city"": ""New York"", ""location_country"": ""US"", ""hashed_email"": ""2bf52d248abce6f00b7f722f4849ff14acf6421607c89c821710a308875ca07f""}"
A_sess_00011_903c102b,A,B_sess_00012_d2ff5d5c,B,global_b73bf648da9843bf,deterministic,"{""ip_range"": ""10.13.5.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Bangalore"", ""location_country"": ""IN"", ""hashed_email"": ""40349c0558391e0ca370d425a7628a34d5a3fea157c4ae4ee7e4f959f6309dfa""}"
A_sess_00013_6e0d3a18,A,B_sess_00014_1fe684e3,B,global_9256e1c14d5c4f55,deterministic,"{""ip_range"": ""10.240.6.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Amsterdam"", ""location_country"": ""NL"", ""hashed_email"": ""cd0eea29cdfac17b90384d684398754f7a19d6efc86491cd03ae320e840144c2""}"
A_sess_00015_558ce2c2,A,B_sess_00016_b3fced9e,B,global_7b4764226f4540b1,deterministic,"{""ip_range"": ""10.228.7.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""1bcf55ee5cbd1467763b4e3ae3969ae6bc05bcdf5b9cd32b1792da53601064be""}"
A_sess_00017_2350dbe0,A,B_sess_00018_31c0f280,B,global_0acb496ae1c641f7,deterministic,"{""ip_range"": ""10.33.8.0/24"", ""device_type"": ""tablet"", ""location_city"": ""London"", ""location_country"": ""GB"", ""hashed_email"": ""085ff5c70116b5694d1f5eb6177030467a282343f96be552822b1a34e2a88265""}"
A_sess_00019_77c9d2a0,A,B_sess_00020_c0af0980,B,global_c9cdf8318437412d,deterministic,"{""ip_range"": ""10.174.9.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Sydney"", ""location_country"": ""AU"", ""hashed_email"": ""9cf8236df5681ed10f41aece9c1caaf0703d5911721726defdc9d9a8f4d89759""}"
