session_id_a,platform_a,session_id_b,platform_b,global_uid,expected_method,match_features
A_sess_00001_0da2fb82,A,B_sess_00002_e7df9038,B,global_863ad6d802a04c8e,deterministic,"{""ip_range"": ""10.190.0.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Houston"", ""location_country"": ""US"", ""hashed_email"": ""83e8344cf090e427420c54906f7f9af5624b2124c346c74792bb4b37c226d859""}"
A_sess_00003_76b1d137,A,B_sess_00004_fe11c5a0,B,global_91eeb868a57245fd,deterministic,"{""ip_range"": ""10.207.1.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Singapore"", ""location_country"": ""SG"", ""hashed_email"": ""9db7e2739a39fa3e73450dd455e16eb720eea76b2b5c484d0c77e251aaaec616""}"
A_sess_00005_03a5c9c4,A,B_sess_00006_188df410,B,global_5d912ca25c004e61,deterministic,"{""ip_range"": ""10.230.2.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""92cd0b2007e5d2900adf462f0d5b8b8b3868954e650d2e05f6a923c2620d9b00""}"
A_sess_00007_c2cccc56,A,B_sess_00008_b1a54275,B,global_2a3ea0875da7438e,deterministic,"{""ip_range"": ""10.130.3.0/16"", ""device_type"": ""tablet"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""b76a1269476ae952d16d265300ee8a40b27b6cc19599127c4883e383e279b1dc""}"
A_sess_00009_2daab719,A,B_sess_00010_08fb8665,B,global_8433eac64e7047af,deterministic,"{""ip_range"": ""10.182.4.0/16"", ""device_type"": ""mobile"", ""location_city"": ""New York"", ""location_country"": ""US"", ""hashed_email"": ""2bf52d248abce6f00b7f722f4849ff14acf6421607c89c821710a308875ca07f""}"
A_sess_00011_8fbb8c01,A,B_sess_00012_461c1fd6,B,global_011687622190410e,deterministic,"{""ip_range"": ""10.13.5.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Bangalore"", ""location_country"": ""IN"", ""hashed_email"": ""40349c0558391e0ca370d425a7628a34d5a3fea157c4ae4ee7e4f959f6309dfa""}"
A_sess_00013_2e394f36,A,B_sess_00014_a1cd88e8,B,global_15eb7153734c4f94,deterministic,"{""ip_range"": ""10.240.6.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Amsterdam"", ""location_country"": ""NL"", ""hashed_email"": ""cd0eea29cdfac17b90384d684398754f7a19d6efc86491cd03ae320e840144c2""}"
A_sess_00015_2fedee84,A,B_sess_00016_5ad6c836,B,global_e0de7952a3144c9a,deterministic,"{""ip_range"": ""10.228.7.0/16"", ""device_type"": ""mobile"", ""location_city"": ""Paris"", ""location_country"": ""FR"", ""hashed_email"": ""1bcf55ee5cbd1467763b4e3ae3969ae6bc05bcdf5b9cd32b1792da53601064be""}"
A_sess_00017_d78b8523,A,B_sess_00018_4e430efb,B,global_7ac35b50f3bb46c3,deterministic,"{""ip_range"": ""10.33.8.0/24"", ""device_type"": ""tablet"", ""location_city"": ""London"", ""location_country"": ""GB"", ""hashed_email"": ""085ff5c70116b5694d1f5eb6177030467a282343f96be552822b1a34e2a88265""}"
A_sess_00019_aa47a941,A,B_sess_00020_48b815ee,B,global_e5f5bbe4157e4893,deterministic,"{""ip_range"": ""10.174.9.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Sydney"", ""location_country"": ""AU"", ""hashed_email"": ""9cf8236df5681ed10f41aece9c1caaf0703d5911721726defdc9d9a8f4d89759""}"
A_sess_00021_4a51591a,A,B_sess_00022_5d416f74,B,global_e5653415005b4f0a,deterministic,"{""ip_range"": ""10.104.10.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Manchester"", ""location_country"": ""GB"", ""hashed_email"": ""009299d1f45a3854cf151d8dd65a1bbf11acc8bdd253c1da933b07d1fb7ebc3c""}"
A_sess_00023_45833071,A,B_sess_00024_6e844760,B,global_4db09d82d72b4ded,deterministic,"{""ip_range"": ""10.57.11.0/24"", ""device_type"": ""mobile"", ""location_city"": ""Houston"", ""location_country"": ""US"", ""hashed_email"": ""629ff0daf5c47f4804c1d5a4f1fc03645c6f7b326ed6bf7a1f5ea568e7db6ea8""}"
A_sess_00025_ab2980bb,A,B_sess_00026_225f1310,B,global_0d1bc1b20c9943f1,deterministic,"{""ip_range"": ""10.242.12.0/16"", ""device_type"": ""desktop"", ""location_city"": ""Sao Paulo"", ""location_country"": ""BR"", ""hashed_email"": ""3e8ffa3d7425e8e0c45a601d5e72f8a15dc10ae369ef0335a356818775b2993f""}"
A_sess_00027_235bf68b,A,B_sess_00028_1b1e852f,B,global_10094dd395044bc5,deterministic,"{""ip_range"": ""10.62.13.0/16"", ""device_type"": ""mobile"", ""location_city"": ""New York"", ""location_country"": ""US"", ""hashed_email"": ""e66f7b11d843f597a344ff1478cd7f37d7fb2c2a60ec71b8baa4461849276b67""}"
A_sess_00029_f2099fd5,A,B_sess_00030_fbc73d56,B,global_ef9571e962f8417e,deterministic,"{""ip_range"": ""10.137.14.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Los Angeles"", ""location_country"": ""US"", ""hashed_email"": ""ec88a63f7b2bf2061c06a057b411ffd5456321001ff13e6857620cc22e959b71""}"
A_sess_00031_f3defb24,A,B_sess_00032_09e1bf77,B,global_7c16cfabb8ff4755,deterministic,"{""ip_range"": ""10.55.15.0/24"", ""device_type"": ""desktop"", ""location_city"": ""Manchester"", ""location_country"": ""GB"", ""hashed_email"": ""f68e7b60a2196571a0440d2e6877ea4e91461db6f6ded32c05b026ead1d6c88d""}"
A_sess_00033_1f61db23,A,B_sess_00034_9d403a44,B,global_39e0ca611ba54d94,deterministic,"{""ip_range"": ""10.252.16.0/24"", ""device_type"": ""tablet"", ""location_city"": ""Amsterdam"", ""location_country"": ""NL"", ""hashed_email"": ""4d029d8bd3cf8ad724d326f5df21ca05f4dc264c3b1f54a69cfc478d53ccc4e0""}"
